Date,Open,High,Low,Close,Volume,Sector Symbol,Sector Long Name
11/19/21,88.1600,88.8400,88.0200,88.3100,5213351,XLB,Materials
11/18/21,88.9200,89.0900,88.2900,88.4700,5194591,XLB,Materials
11/17/21,89.3000,89.5300,88.7800,88.8500,5279572,XLB,Materials
11/16/21,89.7400,89.9900,89.3800,89.4400,4388136,XLB,Materials
11/15/21,90.1300,90.1700,89.3700,89.6900,4314031,XLB,Materials
11/12/21,89.6700,90.1400,89.4600,90.1000,4387372,XLB,Materials
11/11/21,89.1200,89.8000,88.9300,89.4300,4079195,XLB,Materials
11/10/21,89.2400,89.6500,88.5400,88.7200,6436232,XLB,Materials
11/9/21,88.9500,89.3300,88.5900,89.3300,7884261,XLB,Materials
11/8/21,88.7800,89.2300,88.6100,88.9200,5345020,XLB,Materials
11/5/21,87.3600,88.0600,87.2700,87.8200,5829404,XLB,Materials
11/4/21,87.3200,87.5100,86.7700,87.1400,5036572,XLB,Materials
11/3/21,86.4400,87.5600,86.2100,87.1900,9593688,XLB,Materials
11/2/21,85.5400,86.4600,85.3800,86.2900,6635591,XLB,Materials
11/1/21,85.2600,85.8300,85.0200,85.3200,5520223,XLB,Materials
10/29/21,85.2100,85.8300,84.8100,85.1200,4349562,XLB,Materials
10/28/21,84.7900,85.6900,84.7700,85.5300,4151685,XLB,Materials
10/27/21,85.5900,85.7400,84.6300,84.6900,5702093,XLB,Materials
10/26/21,85.8300,86.2700,85.1200,85.9200,5776969,XLB,Materials
10/25/21,85.3700,86.0400,84.8500,85.6800,5399652,XLB,Materials
10/22/21,85.1500,85.7300,84.8300,84.8300,5784213,XLB,Materials
10/21/21,84.8600,85.0200,84.1100,84.9900,6696108,XLB,Materials
10/20/21,84.6000,85.3100,84.4000,85.2100,4651953,XLB,Materials
10/19/21,84.4700,84.5300,83.8300,84.5300,4795501,XLB,Materials
10/18/21,83.4300,84.2500,83.2800,84.0900,6349897,XLB,Materials
10/15/21,84.3400,84.5800,83.9400,84.1500,5852546,XLB,Materials
10/14/21,82.7100,84.0200,82.4800,83.9000,5687340,XLB,Materials
10/13/21,81.8300,82.2800,80.9300,81.9100,7215657,XLB,Materials
10/12/21,81.2400,81.6800,81.0000,81.3000,7665740,XLB,Materials
10/11/21,81.4600,82.3800,81.1800,81.1900,4836766,XLB,Materials
10/8/21,81.8300,82.0300,81.0300,81.1800,6399037,XLB,Materials
10/7/21,81.2700,82.5200,81.2700,81.6300,8469289,XLB,Materials
10/6/21,79.9100,80.5800,78.2500,80.5800,7724252,XLB,Materials
10/5/21,80.2400,81.1800,79.7000,80.7300,6792058,XLB,Materials
10/4/21,80.4700,80.9700,79.4500,80.0200,8555819,XLB,Materials
10/1/21,79.4900,80.8000,78.8900,80.3700,9249991,XLB,Materials
9/30/21,80.6000,80.9300,79.0900,79.1100,10729442,XLB,Materials
9/29/21,80.6800,80.8600,80.2000,80.3600,6969761,XLB,Materials
9/28/21,81.5000,81.6200,80.4400,80.6900,8285263,XLB,Materials
9/27/21,81.2800,82.1600,81.2700,81.7000,5216513,XLB,Materials
9/24/21,80.8200,81.5000,80.6300,81.0700,3625896,XLB,Materials
9/23/21,80.6500,81.7400,80.5700,81.1900,4758327,XLB,Materials
9/22/21,79.9900,80.8500,79.9900,80.0500,7656112,XLB,Materials
9/21/21,79.9100,80.0500,78.8900,79.2300,7614708,XLB,Materials
9/20/21,79.0800,79.7900,78.3700,79.4200,10077762,XLB,Materials
9/17/21,82.5800,82.7300,81.0700,81.3300,9965999,XLB,Materials
9/16/21,83.6300,83.7100,82.4400,83.0400,5625365,XLB,Materials
9/15/21,83.2800,84.0500,83.1200,83.9500,6325836,XLB,Materials
9/14/21,84.2800,84.3400,82.8900,83.0700,6043651,XLB,Materials
9/13/21,84.7500,85.0000,83.4600,83.9900,7610040,XLB,Materials
9/10/21,84.4200,85.0500,83.9500,84.0100,8890182,XLB,Materials
9/9/21,83.7600,84.6000,83.7600,84.0300,4935706,XLB,Materials
9/8/21,84.5600,84.6400,83.7100,84.0000,6209959,XLB,Materials
9/7/21,85.0700,85.1300,84.6900,84.8100,6932341,XLB,Materials
9/3/21,85.8500,86.1000,85.3500,85.3700,11440331,XLB,Materials
9/2/21,85.6400,86.1100,85.6100,85.9400,5315638,XLB,Materials
1/25/22,127.3300,129.3100,126.2700,128.2100,19326773,XLV,Healthcare
1/24/22,128.3000,129.2600,124.9200,129.0400,37986741,XLV,Healthcare
1/21/22,131.1900,131.6000,129.2600,129.4700,25804772,XLV,Healthcare
1/20/22,131.9700,133.3200,130.7100,130.7900,15127778,XLV,Healthcare
1/19/22,132.4400,133.4800,131.5200,131.6500,14639582,XLV,Healthcare
1/18/22,132.7500,132.9600,131.8400,132.1900,16471761,XLV,Healthcare
1/14/22,133.9400,134.2100,132.6900,134.0700,14341860,XLV,Healthcare
1/13/22,136.1800,136.3500,134.0600,134.3000,13804867,XLV,Healthcare
1/12/22,136.0300,136.6300,135.8300,136.4200,10831825,XLV,Healthcare
1/11/22,135.9300,136.8300,135.0000,136.8100,12168273,XLV,Healthcare
1/10/22,133.7600,135.8100,133.4400,135.7300,15589881,XLV,Healthcare
1/7/22,134.7200,134.9700,134.0700,134.3500,9619354,XLV,Healthcare
1/6/22,135.7700,136.6000,134.8000,135.0400,15181986,XLV,Healthcare
1/5/22,137.9000,138.7300,136.5600,136.6200,15370687,XLV,Healthcare
1/4/22,139.1300,139.2900,137.0100,137.6000,13718254,XLV,Healthcare
1/3/22,140.2900,140.5500,138.2400,139.4400,15122472,XLV,Healthcare
12/31/21,141.3200,141.8600,140.8400,140.8900,7882794,XLV,Healthcare
12/30/21,141.4600,141.9700,141.3100,141.4900,7931674,XLV,Healthcare
12/29/21,140.2600,141.4900,140.1600,141.2000,7103573,XLV,Healthcare
12/28/21,140.9000,141.1500,140.0300,140.4000,6066669,XLV,Healthcare
12/27/21,139.8000,140.7700,139.6500,140.7700,6969387,XLV,Healthcare
12/23/21,139.0900,139.7500,138.6800,139.3000,7743780,XLV,Healthcare
12/22/21,137.0600,138.8100,136.8200,138.7300,7245983,XLV,Healthcare
12/21/21,136.9500,137.1900,135.6800,137.1300,10773365,XLV,Healthcare
12/20/21,137.1100,137.5300,135.3800,136.5600,16185740,XLV,Healthcare
12/17/21,138.1900,139.0300,137.3800,137.9200,21505772,XLV,Healthcare
12/16/21,138.0600,139.5900,137.8100,138.8900,19227482,XLV,Healthcare
12/15/21,135.5900,138.1400,135.4700,138.0700,14996251,XLV,Healthcare
12/14/21,135.2200,136.0100,134.6300,135.3000,11070804,XLV,Healthcare
12/13/21,134.5800,136.2300,134.5800,135.8500,12201839,XLV,Healthcare
12/10/21,133.7600,134.8600,133.7000,134.5800,8554302,XLV,Healthcare
12/9/21,133.6700,134.5500,133.5700,134.1100,9095914,XLV,Healthcare
12/8/21,133.1800,133.8900,132.5100,133.8000,15144681,XLV,Healthcare
12/7/21,132.0000,133.1200,131.8200,132.8000,11974712,XLV,Healthcare
12/6/21,130.7100,131.6800,130.5000,131.1100,15230869,XLV,Healthcare
12/3/21,131.0400,131.5400,129.2900,130.3700,22111856,XLV,Healthcare
12/2/21,129.4600,130.6600,128.8400,130.1300,17531246,XLV,Healthcare
12/1/21,130.3500,132.0900,129.4800,129.5000,22241709,XLV,Healthcare
11/30/21,131.5700,132.1700,129.5400,129.7300,19467132,XLV,Healthcare
11/29/21,132.6900,133.2200,132.1900,132.3300,17137200,XLV,Healthcare
11/26/21,132.9400,133.7200,131.5100,131.9700,11896923,XLV,Healthcare
11/24/21,132.2600,132.7000,131.8000,132.4600,6760796,XLV,Healthcare
11/23/21,131.7500,132.6500,131.3500,132.5100,12075241,XLV,Healthcare
11/22/21,133.1600,133.6200,132.2000,132.3700,11146204,XLV,Healthcare
11/19/21,134.1800,134.6300,132.8500,132.9700,10166202,XLV,Healthcare
11/18/21,133.8700,134.1200,133.3200,133.7800,9029418,XLV,Healthcare
11/17/21,133.6900,134.2500,133.1100,133.7300,8229054,XLV,Healthcare
11/16/21,132.9500,134.2600,132.7200,133.5400,6150892,XLV,Healthcare
11/15/21,134.1200,134.1900,132.8500,132.9800,6268910,XLV,Healthcare
11/12/21,134.0000,134.1200,133.0700,133.8100,8317641,XLV,Healthcare
11/11/21,133.5200,133.6100,132.8300,133.1500,8597304,XLV,Healthcare
11/10/21,133.1200,134.0800,133.1000,133.5400,8445419,XLV,Healthcare
11/9/21,133.6900,133.8100,132.9000,133.1600,7287021,XLV,Healthcare
11/8/21,133.1000,133.8200,132.5800,133.6500,8948840,XLV,Healthcare
11/5/21,133.1500,133.7000,131.9000,132.8600,14867391,XLV,Healthcare
